,Time,Freq,Angle1,Angle2,Phase
177,158.3,1.0552,-0.294,0.961,-1.255
178,159.24,1.0545,-0.305,0.961,-1.266
179,160.2,1.0537,-0.297,0.963,-1.26
180,161.14,1.0528,-0.305,0.961,-1.266
181,162.1,1.0519,-0.297,0.963,-1.26
182,163.06,1.051,-0.286,0.961,-1.2469999999999999
183,164.0,1.0492,-0.297,0.963,-1.26
184,164.96,1.049,-0.291,0.961,-1.252
185,165.9,1.0474,-0.306,0.961,-1.267
186,166.86,1.0471,-0.303,0.961,-1.264
187,167.82,1.0448,-0.3,0.963,-1.263
188,168.78,1.0457,-0.298,0.963,-1.261
189,169.74,1.0447,-0.295,0.963,-1.258
190,170.7,1.042,-0.292,0.961,-1.253
191,171.66,1.0416,-0.292,0.963,-1.255
192,172.62,1.0413,-0.292,0.963,-1.255
193,173.58,1.0388,-0.295,0.963,-1.258
194,174.54,1.0382,-0.298,0.963,-1.261
195,175.5,1.0364,-0.303,0.961,-1.264
196,176.46,1.036,-0.306,0.961,-1.267
197,177.44,1.0363,-0.292,0.961,-1.253
198,178.4,1.035,-0.302,0.963,-1.265
199,179.38,1.0341,-0.291,0.961,-1.252
200,180.34,1.033,-0.302,0.963,-1.265
201,181.32,1.0324,-0.291,0.961,-1.252
202,182.28,1.0306,-0.298,0.963,-1.261
203,183.24,1.0303,-0.308,0.961,-1.269
204,184.22,1.0286,-0.303,0.963,-1.266
205,185.2,1.0274,-0.297,0.961,-1.258
206,186.16,1.0264,-0.309,0.961,-1.27
207,187.14,1.0263,-0.305,0.963,-1.268
208,188.12,1.0243,-0.303,0.963,-1.266
209,189.1,1.0223,-0.302,0.963,-1.265
210,190.08,1.0202,-0.303,0.963,-1.266
211,191.06,1.0184,-0.306,0.963,-1.269
212,192.04,1.0164,-0.311,0.961,-1.272
213,193.04,1.0135,-0.298,0.961,-1.259
214,194.02,1.0124,-0.305,0.963,-1.268
215,195.0,1.0104,-0.313,0.961,-1.274
216,196.0,1.0102,-0.303,0.961,-1.264
217,196.98,1.009,-0.314,0.961,-1.275
218,197.98,1.0064,-0.313,0.961,-1.274
219,198.98,1.0068,-0.306,0.963,-1.269
220,199.98,1.0073,-0.297,0.961,-1.258
221,200.96,1.006,-0.314,0.961,-1.275
222,201.96,1.0053,-0.308,0.963,-1.271
223,202.96,1.0039,-0.302,0.963,-1.265
224,203.96,1.004,-0.297,0.961,-1.258
