,frequency (rad/s),Amplitude (experimental),Amplitude (predicted)
49,7.608937406994479,0.1832,0.1515877474959555
50,7.597627673441556,0.184,0.1522435491650396
51,7.588831214011504,0.1847,0.15275686269801153
52,7.581291391642888,0.1839,0.1531991249227886
53,7.575636524866427,0.1901,0.15353221145124238
54,7.569981658089966,0.1844,0.15386649609773534
55,7.565583428374939,0.1899,0.15412732754621614
56,7.560556880129196,0.1875,0.15442631644622457
57,7.5555303318834515,0.1897,0.15472626508791476
58,7.549247146576273,0.1907,0.15510255725228592
59,7.542335642738375,0.1876,0.15551822899229115
60,7.532910864777606,0.1894,0.15608802973127084
61,7.51971617563253,0.1934,0.15689157133791037
62,7.522229449755401,0.1895,0.15673798901439134
63,7.508406442079606,0.1923,0.1575857827121951
64,7.50714980501817,0.1906,0.1576632309769221
65,7.498353345588118,0.1902,0.1582071369842627
66,7.500238301180272,0.1996,0.15809032455178193
67,7.482017063789452,0.1876,0.15922552481722024
68,7.489556886158066,0.1961,0.15875415536291704
69,7.475105559951554,0.1948,0.15965965260435533
70,7.483902019381605,0.1936,0.15910746543488902
71,7.474477241420836,0.1931,0.1596992159385883
72,7.465680781990784,0.191,0.1602548118051211
73,7.4738489228901175,0.2005,0.15973879550935186
74,7.456884322560733,0.1929,0.16081361636971386
75,7.454371048437861,0.201,0.1609738678848126
76,7.463795826398631,0.1999,0.16037428461837186
77,7.44557458900781,0.1927,0.16153683704600655
78,7.438034766639194,0.2006,0.16202198360615497
79,7.43929140370063,0.2011,0.1619409582872027
80,7.427353351616988,0.2003,0.16271342047843398
81,7.418556892186938,0.1966,0.16328652007735264
82,7.412273706879757,0.2004,0.16369792915765463
83,7.407247158634014,0.1982,0.1640282956279423
84,7.403477247449706,0.203,0.1642767968204825
85,7.400335654796116,0.2012,0.1644843585360192
86,7.395937425081091,0.1986,0.16477567667060822
87,7.3915391953660645,0.2045,0.16506785174895205
88,7.385884328589603,0.2021,0.1654447704264263
89,7.378344506220987,0.2019,0.16594955491329963
90,7.368291409729501,0.2084,0.16662658827474422
91,7.3544684020537066,0.2038,0.16756502540563484
92,7.348185216746526,0.2042,0.16799449286092957
93,7.34692857968509,0.2037,0.16808060574324074
94,7.34064539437791,0.2108,0.16851227202977184
95,7.32870734229427,0.2043,0.16933752950406958
96,7.321167519925654,0.2072,0.16986221112691888
97,7.316140971679911,0.2081,0.17021350173086974
98,7.3148843346184735,0.2093,0.17030151308775815
99,7.3148843346184735,0.2103,0.17030151308775815
100,7.299804689881243,0.2093,0.1713635783134119
101,7.306087875188423,0.2113,0.17091971654077345
102,7.28849495632832,0.2128,0.1721673758450596
103,7.284096726613294,0.2095,0.1724816587466241
104,7.292893186043346,0.2118,0.17185404428723888
105,7.2765569042446785,0.2086,0.17302265472830627
106,7.2715303559989355,0.216,0.1733848891041276
107,7.2715303559989355,0.2118,0.1733848891041276
108,7.258335666853858,0.2156,0.17434178287132357
109,7.25142416301596,0.2131,0.1748465266157159
110,7.245140977708781,0.2163,0.17530749927593686
111,7.244512659178063,0.2133,0.17535370782418183
112,7.23006133297155,0.2199,0.17642212883007308
113,7.218123280887909,0.215,0.1773129424452293
114,7.208698502927139,0.2193,0.1780215236058809
115,7.201158680558523,0.219,0.17859179322020896
116,7.1948754952513445,0.2158,0.1790693479681825
117,7.182937443167703,0.2213,0.17998258898938185
118,7.1835657616984205,0.2196,0.17993433020399532
119,7.180424169044832,0.2188,0.1801758401552931
120,7.1722560281454975,0.2279,0.18080630274491297
121,7.170371072553344,0.2236,0.18095231681282511
122,7.1728843466762156,0.2251,0.18075767505962592
123,7.169114435491908,0.2257,0.18104976884233687
124,7.152778153693242,0.2217,0.1823246568886295
125,7.15906133900042,0.2222,0.18183254768961124
126,7.144610012793907,0.2294,0.18296773005799763
127,7.150893198101087,0.2235,0.18247272321424474
128,7.135185234833138,0.2247,0.18371445552019242
129,7.133928597771702,0.2274,0.183814403337521
130,7.127645412464523,0.2256,0.18431550719386067
131,7.1182206345037535,0.2286,0.18507145306208872
132,7.114450723319446,0.2318,0.18537528265990233
133,7.098742760051496,0.2242,0.18665025602758883
134,7.09748612299006,0.2329,0.186752886722229
135,7.084291433844983,0.2295,0.18783622936427394
136,7.074866655884214,0.2323,0.18861649486448687
137,7.069211789107753,0.2374,0.1890872596930756
138,7.067955152046316,0.2289,0.18919214101107845
139,7.069840107638471,0.2349,0.1890348554957944
140,7.058530374085547,0.2364,0.18998186258245087
141,7.052875507309086,0.2358,0.19045834661797115
142,7.047220640532624,0.2336,0.19093683366069786
143,7.034654269918264,0.2363,0.1920073707242345
144,7.032140995795393,0.2395,0.1922226841323301
