"Time (s) Run #16","Angle, Ch P1 (rad) Run #16","Angle, Ch P2 (rad) Run #16","AngleAmp (rad) Run #16","DrivingFrequency (Hz) Run #16","freq (Hz) Run #16","AngVel (rad/s) Run #16","DriverAngleVel (rad/s) Run #16"
3.420,-0.314,1.217,,,,-0.3927,2.6442
3.440,-0.320,1.261,,,,-0.1833,1.6886
3.460,-0.322,1.285,,,,0.0262,0.6938
3.480,-0.319,1.290,,1.2500,1.2523,0.2487,-0.3272
3.500,-0.313,1.272,,,,0.4712,-1.3483
3.520,-0.300,1.235,,,,0.6807,-2.3431
3.540,-0.284,1.178,,,,0.8508,-3.2332
3.560,-0.265,1.103,,,,0.9948,-4.0186
3.580,-0.245,1.016,,,,1.1257,-4.6862
3.600,-0.220,0.914,,,,1.2305,-5.2229
3.620,-0.195,0.804,,,,1.3090,-5.6156
3.640,-0.168,0.688,,,,1.3614,-5.8381
3.660,-0.140,0.569,,,,1.3875,-5.9167
3.680,-0.112,0.449,,,,1.3614,-5.8512
3.700,-0.085,0.333,,,,1.2959,-5.6549
3.720,-0.060,0.221,,,,1.2043,-5.3276
3.740,-0.036,0.118,,,,1.0865,-4.8826
3.760,-0.016,0.025,,,,0.9425,-4.3328
3.780,0.002,-0.057,,,,0.7854,-3.6914
3.800,0.016,-0.124,,,,0.6152,-2.9845
3.820,0.027,-0.176,,,,0.4189,-2.2253
3.840,0.033,-0.214,,,,0.2094,-1.4268
3.860,0.035,-0.234,0.1741,,,0.0000,-0.5760
3.880,0.033,-0.237,,,,-0.2094,0.3011
3.900,0.027,-0.221,,,,-0.4189,1.1519
3.920,0.016,-0.190,,,,-0.6021,1.9766
3.940,0.002,-0.143,,,,-0.7592,2.7620
3.960,-0.014,-0.079,,,,-0.9163,3.4950
3.980,-0.035,-0.002,,,,-1.0603,4.1364
4.000,-0.058,0.088,,,,-1.1781,4.7124
4.020,-0.082,0.187,,,,-1.2435,5.2098
4.040,-0.108,0.298,,,,-1.2828,5.5763
4.060,-0.134,0.413,,,,-1.3090,5.7989
4.080,-0.160,0.531,,,,-1.2959,5.9036
4.100,-0.187,0.650,,,,-1.2566,5.8905
4.120,-0.210,0.770,,,,-1.1650,5.7203
4.140,-0.234,0.881,,,,-1.0472,5.3800
4.160,-0.253,0.986,,,,-0.9163,4.8695
4.180,-0.270,1.079,,,,-0.7592,4.2281
4.200,-0.284,1.156,,,,-0.5890,3.4688
4.220,-0.294,1.219,,,,-0.3927,2.6180
4.240,-0.300,1.263,,,,-0.1833,1.6755
4.260,-0.302,1.286,,,,0.0262,0.6676
4.280,-0.298,1.290,,1.2500,1.2534,0.2356,-0.3534
4.300,-0.292,1.272,,,,0.4320,-1.3744
4.320,-0.281,1.235,,,,0.6283,-2.3562
4.340,-0.267,1.177,,,,0.8116,-3.2594
4.360,-0.248,1.103,,,,0.9556,-4.0448
4.380,-0.228,1.013,,,,1.0734,-4.6993
4.400,-0.206,0.913,,,,1.1781,-5.2229
4.420,-0.181,0.803,,,,1.2697,-5.6156
4.440,-0.154,0.686,,,,1.3090,-5.8512
4.460,-0.127,0.565,,,,1.2959,-5.9167
4.480,-0.102,0.448,,,,1.2566,-5.8512
4.500,-0.077,0.331,,,,1.2043,-5.6549
4.520,-0.053,0.218,,,,1.1257,-5.3407
4.540,-0.031,0.116,,,,1.0079,-4.8826
4.560,-0.013,0.022,,,,0.8639,-4.3328
4.580,0.003,-0.058,,,,0.6938,-3.6783
4.600,0.016,-0.127,,,,0.5105,-2.9583
4.620,0.024,-0.176,,,,0.3272,-2.1991
4.640,0.028,-0.215,,,,0.1309,-1.4006
4.660,0.030,-0.234,0.1584,,,-0.0785,-0.5629
4.680,0.025,-0.237,,,,-0.2880,0.3272
4.700,0.017,-0.221,,,,-0.4843,1.1912
4.720,0.006,-0.188,,,,-0.6676,2.0159
4.740,-0.009,-0.140,,,,-0.8378,2.7882
4.760,-0.028,-0.077,,,,-0.9817,3.5081
4.780,-0.049,0.002,,,,-1.0996,4.1626
4.800,-0.072,0.091,,,,-1.2043,4.7517
4.820,-0.097,0.192,,,,-1.2828,5.2360
4.840,-0.124,0.303,,,,-1.3221,5.6025
4.860,-0.151,0.418,,,,-1.3352,5.8381
4.880,-0.178,0.537,,,,-1.3090,5.9298
4.900,-0.204,0.658,,,,-1.2566,5.8905
